,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
ENO,497.2822975,0.811870271,817.9565847,-66.66666667,524.0053607,-60,,,-79.89907867,-560.0221319,0,-113.1783928,,
FADMQOR,0,21.29499806,,0,,0,0,0,,,,0,,
FBA,244.4590351,-43.57922054,,-2.797088396,,-1.55E-18,,,,-1.26E-14,-140.4071082,-184.007654,,
FE2t,0.278065647,,,,0,,,,125.7245871,,,,0,0.217521808
FE3DCITCH,0,,-9.907304696,,-12.3729587,,,0,,-0.134706606,-0.350153777,,-0.263091752,0
FE3DCITR5,0,,,,,,,,,,,,,
FE3PYOVDL2,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-874.6948682,-1000,-1000,-1000,-1000,-1000
FEROc,0.037374106,,,,0,,,,31.38266088,,,,,0.029236561
FMNAT,0.004269685,0.006122453,0.009750225,0.001970576,0.006791086,0.005029427,0.003032349,0.004378822,0.006440717,0.003463899,0.009004335,0.004702513,0.006762617,
FORt2,0,,,,,,,,,,,,,0
FTHFLi,0.004269685,11.19242143,0,0,0.013582172,0.005029427,,0.004378822,0.006440717,,,0,0,0.003340037
FUM,-530.2998643,-0.158579152,12.93728016,,,-1000,0,-168.925742,,-554.2913485,,-448.2491365,-1000,
FUMtr,-530.2998643,,,,,-1000,,,-194.5996943,,,,,
G1PACT,1.914657075,,8.74459611,0.883666165,0,,2.719595433,1.963597166,,3.106636103,,2.108750436,6.065127491,0
G1SAT,-83.33333333,7.46368256,,0,-400,,2.93E-15,,,0,0,,0,0
G5SADs,4.232445198,,,,,,0,,,0,,,,3.310905684
G5SD,0,,0,0,0,,0,,,0,,0,,
GAM6Pt,1.914657075,-86.22071121,,-17.84661533,-1000,,,,-1.342968265,3.106636103,-275,,-60.60153918,
GCCa,0,,0,0,0,-3.61E-16,0,0,,0,0,-1.00E-15,0,
GCCb,0,,0,0,0,0,0,0,,0,0,0,0,
GCCc,0,,0,0,0,0,0,0,,0,0,0,0,
GCDH,0,-380.512265,,-1000,-1000,0,,0,,,,,0,
GGLUCT2,11.72373247,0,0,,0,0,0,0,,0,0,0,0,
GHMT2r,-4.553072036,0.727254121,-70.54419569,53.36509087,-192.7941095,-330.0876556,-53.44039417,-230.395527,-52.35969277,-240.7457076,,-101.7234716,-406.9999153,0.004837812
GK1,4.635633685,,10.61515266,2.143411813,7.373140071,5.485638781,3.298311743,,,,9.794092268,,,
GLCOAS,0,,,,0,0,,0,,,0,,0,0
GLNS,5.035765103,0,0,,8.034463956,0,0,0,0,0,0,5.563495187,0,0
GLU5K,0,,0,0,0,,0,,,0,0,0,,
GLUABUTt7,0,,,,,-1000,,,,0,,,,
GLUDC,0,,0,,,0,,,0,,,,,
GLUDy_1,-32.18864829,,,,,,756.2853862,,,,-1000,,,
GLUN,0,0,,0,0,0,,,0,0,,0,0,0
GLUSx,0,0,0,0,0,,0,0,,0,0,0,0,
GLUTARt2rpp,0,,,,,,,,,,,,,0
GLUTARtex,0,,,,,,,,,,,,,0
GLU_Dt2,0,2.745494813,,,,,,,,,,,,
GLUt2rpp,-2.08E-13,0,,,0,0,759.5692705,0,,0,0,,0,
GLYCL,0,,0,0,0,0,0,0,0.992582784,0,0,0,0,
GLYCLTDx,0,0,,0,0.00304533,0,0,,,0,0,0,0,0
GLYCLTt,-317.3275457,,,-374.8575942,,,,,,,,-472.5657835,,-1000
GLYCTO1,0,0,0,,0,0,0,0,,0,0,,0,
GMPS,0,0,0,0,0,0,,0,0,0,0,,0,0
GMPS2,0,,,0,0,0,3.298311743,0,0,0,0,,0,0
GRTT,0.001914657,0.002745495,0.004372298,0.000883666,0.00304533,0.002255348,0.001359798,0.001963597,0.002888214,1.55487137,0.004037819,0.00210875,0.003032564,0.001497775
GSEALD,-83.33333333,,-141.6666667,,-400,-60,,,-180.7692308,,,,,
GTHOXti,5.861866236,,,,,,,,,0,,,0,
GTHRDHpp,0,0,0,0,0,0,,-3.37E-17,,0,0,0,0,
GTHRDabc2pp,0,,,,,0,,,,0,0,,,
GTHRDabcpp,0,0,0,0,0,,0,0,,,,3.52E-15,,
GTMLT,11.72373247,0,0,,0,0,0,0,,0,0,0,0,
