,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
GRTT,0.002127397,0.00305055,0.004858109,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,39.15413479,0.004486465,0.002343056,0.003369515,0.001664194
GSEALD,0,,0,,0,0,,,0,,,,,
GTHOXti,6.513184706,,,,,,,,,0.792218095,,,0,
GTHRDHpp,0,0.158781037,0,0,0,0,,0,,0,0,0,0,
GTHRDabc2pp,-5.70E-29,,,,,0,,,,0,0,,,
GTHRDabcpp,0,0,0,0,0,,0,0,,,,23.53073776,,
GTMLT,13.02636941,0,0,,0,0,0,0,,0,0,0,0,
GTPCII2,0,,0,0,,0,0,,,0,0,0,0,
GUAt,0,,,,0,,,,,,,,,
GUAt2r,0,,,,0,,,,,,,,,
H2Ot,-867.2069907,-754.6260873,1000,0,0,0,-73.03555501,1000,-110.1097446,-1000,-153.3767482,-402.8254802,809.2534841,-121.3104877
H2Otex,0,-245.3739127,99.66102735,0,-642.7585587,-176.2510286,-0.005356092,0,0,-173.4997047,0,0,0,0
H2Otpp,0,0,99.66102735,0.038331475,320.4323279,814.6307357,0,593.5673904,-193.7466458,-175.8039312,0,0,-7.77E-16,-3.596572909
H2SO,0.092286471,0.13233285,0.210744766,157.9749635,0.146784911,0,0.06554225,,,0.07486993,0.194622854,,0.146169573,0.072192737
H2St1,-6.605471177,-0.13233285,677.8158934,6.52480441,-3.253123126,2.294942284,0,-1.995887431,208.8719152,-0.07486993,0,21.40082953,0,-0.072192737
HACD1_1,0,,,1.490754639,0,,0,,,0,,-198.7262327,0,
HCO3E,5.128196237,9.047686641,30.86743217,0,0,0,0,0,0,0,0,0,0,0
HEX7_1,246.9240582,,,,,,,,,0,,0,0,
HISTD,0.002372047,,,,,0,,0,,0,0,0,,
HISTP,0.002372047,,0,,0,0,0,0,,,0,0,0,
HISabcpp,2.013081086,2.890029863,,,,,0,0,,0,,2.219764431,,1.576624132
HIStex,2.013081086,2.890029863,,,,,0,0,,0,,2.219764431,,1.576624132
HMBS_1,0,,,,,,,,,,0.127783497,,,0
HMGCOAR,-0.017019174,-0.024404398,,,,,-0.012087091,0,-0.025673011,,,0,,-0.008083228
HMGCOAS,0,0,,0,,,-0.012087091,,-0.025673011,,,,,-0.008083228
HMR_9638,0,,,,,0,,,,,0,0,-0.006739031,
HPROb,0,,0,,0,-29.02460467,,,,0,0,,,0
HSTPTr,0.002372047,,,,0,,0,0,,,,,,
ICL,0,,,,0,,,0,,,,,,
ID6P,493.8433723,63.7913174,,,,,,0,,,,,,
IG3PS,0.002372047,,0,0,0,0,0,0,,0,0,,,
IGPDH,0.002372047,,,,0,0,0,0,,0,0,,,
IGPDH_1,0,,0,0,,,,,,,,0,0,
ILEDHr_1,-6.180704505,,,,,,,,,,,,,
ILEt2r,0,,14.11421535,,,,,,,,,,,
IMPC,-0.002372047,-6.214610543,0,0,0,0,-6.74278361,0,,0,0,0,0,
IMPD,5.150704094,0,0,0.115504986,0,0,3.664790826,5.282360008,0,0,0,0,8.096304992,4.02923007
IPDDI,0.002127397,0.00305055,,,0,-0.017541599,0.001510886,,0.003209126,,,,,0.001664194
IPMD,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
IPPMIa,0,-0.024404398,0,0,-15.24461796,0,-6.807011389,0,-14.45810909,-1.70E-11,-9.243329332,-10.55619381,-15.18071085,
IPPMIb,0,-0.024404398,0,0,-15.24461796,0,-6.807011389,0,-14.45810909,-1.70E-11,-9.243329332,-10.55619381,-15.18071085,
IPPS,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
KARA1,0,-0.024404398,0,-4.154821574,-29.56315103,-486.2445675,-6.807011389,,-28.03791239,-7.303390815,-9.243329332,-219.1973493,-29.43921907,-1.12818625
KARA2,6.180704505,8.862731807,889.6443311,0,9.830630103,-1.07E-18,,412.6054011,,0,0,0.021087504,9.789419026,4.834966247
Kt1,4.152529539,,9.482688603,1.916504997,,,,,,,,,6.577057946,
LADGMDH,0,,0,,3.383700114,,,2.181774629,,0,4.486465042,,,
LALGP,0,,0,,3.383700114,,,2.181774629,1.02E-11,0,4.486465042,,0,
LEUt2r,9.584581854,,,,,,,,,,,,,
LYSt5r,7.300395963,,16.67113525,,,,,,,,15.3957983,8.040454536,,
MALS,0,,,,0,,,0,,0,0,0,,
MAN6PI,0,,505.7071607,0,0,0,0,,0,0,-4.189855866,0,0,
MAN6Pt6,0,,,,,,,,,,,,,
MBCOAi,0,0.024404398,,0,0,0,0,0,,,,0,0,
MCA,0,,0,,,0,2.49E-26,,,0,0,,0,
MCCC,0,0.024404398,,0,0,0,,0,,,,0,0,
MCD,0,0,,0,0,0,0,0,0,,,,0,0
MCITD,0,8.38457334,,,0,0,0,0,,0,0,,0,
MCPST,11.07809947,,,,,,,,,,,,,
MCTP1App,0,,0,,0,5.23E-31,0,0,,0,0,,0,
MDDEP2pp,0,,0,,,,0,,,,,,,
METAT,0.006871492,0.009853276,0.010833583,0.00317138,0.015091303,0.008094195,0.003369277,,0.007156352,0.005574686,0.270058277,,0.010883534,0.005375347
METS,0.002127397,0.00305055,5.435422327,0.000981851,0.0033837,0.002505943,0.001510886,,0,0.001725909,0.26005346,0,0.003369515,0.001664194
METabc,3.274255065,,,,,3.856871281,2.325390075,0,,0,,,,2.561344376
MEVK2,0.017019174,0.024404398,,,,,,,,,,0,,
MEVRt,0.017019174,,,,,,,,,,,,,
MGCH,0,0.024404398,,0,0,0,0,0,,,,0,0,
MGt5,-0.184551668,,-0.421440951,-0.0851756,,,-0.131069391,-0.189268949,-0.278391712,,-0.389200842,-0.203260111,,-0.144368831
MICITDr,0,8.38457334,,,0,0,0,0,,0,0,,0,
MLDCP1App,0,,0,,,,0,,,,,,,
MLTGY2pp,0,,0,,,0,0,0,,0,0,,0,
MMCD,1.827327439,8.38457334,,0,23.79843702,0,0,0,0,,,0,0,0
MME,0,8.38457334,,,0,0,,0,,,,0,0,0
MMM,1.827327439,,,,23.79843702,,,0,,,,,,
MMM2,0,8.38457334,,,0,0,,0,,,,0,0,0
MNt2,0.014700312,,0.033569533,0.006784592,,,,0.015076063,,,,,,
MPTG,0,,0,,0,-7.39E-17,0,0,,0,0,,0,
MTHFR2,0.002127397,0.00305055,,,0,,,,0,,0.26005346,,,
