,reaction_id,flux
Gb1bin16_PC2DHG_Gb1bin16_C_c,Gb1bin16_PC2DHG_Gb1bin16_C_c,0.0
Gb1bin16_PDH2_Gb1bin16_C_c,Gb1bin16_PDH2_Gb1bin16_C_c,0.0
Gb1bin16_PDHa_Gb1bin16_C_c,Gb1bin16_PDHa_Gb1bin16_C_c,0.0
Gb1bin16_PDHbr_Gb1bin16_C_c,Gb1bin16_PDHbr_Gb1bin16_C_c,0.0
Gb1bin16_PDHcr_Gb1bin16_C_c,Gb1bin16_PDHcr_Gb1bin16_C_c,0.0
Gb1bin16_PEPC_Gb1bin16_C_c,Gb1bin16_PEPC_Gb1bin16_C_c,0.0
Gb1bin16_PGAMT_Gb1bin16_C_c,Gb1bin16_PGAMT_Gb1bin16_C_c,0.0
Gb1bin16_PGCM_Gb1bin16_C_c,Gb1bin16_PGCM_Gb1bin16_C_c,0.0
Gb1bin16_PGI1c_Gb1bin16_C_c,Gb1bin16_PGI1c_Gb1bin16_C_c,0.0
Gb1bin16_PGM_Gb1bin16_C_c,Gb1bin16_PGM_Gb1bin16_C_c,0.0
Gb1bin16_PHCD_Gb1bin16_C_c,Gb1bin16_PHCD_Gb1bin16_C_c,0.0
Gb1bin16_PHETA1_Gb1bin16_C_c,Gb1bin16_PHETA1_Gb1bin16_C_c,0.0
Gb1bin16_PMDPHT_Gb1bin16_C_c,Gb1bin16_PMDPHT_Gb1bin16_C_c,0.0
Gb1bin16_PMEVK_Gb1bin16_C_c,Gb1bin16_PMEVK_Gb1bin16_C_c,0.0
Gb1bin16_PPANA,Gb1bin16_PPANA,0.0
Gb1bin16_PPAP_Et,Gb1bin16_PPAP_Et,0.0
Gb1bin16_PPA_1pp,Gb1bin16_PPA_1pp,0.0
Gb1bin16_PPBNGS_Gb1bin16_C_c,Gb1bin16_PPBNGS_Gb1bin16_C_c,0.0
Gb1bin16_PPCOAC_Gb1bin16_C_c,Gb1bin16_PPCOAC_Gb1bin16_C_c,0.0
Gb1bin16_PPND_Gb1bin16_C_c,Gb1bin16_PPND_Gb1bin16_C_c,0.0
Gb1bin16_PPNDH_Gb1bin16_C_c,Gb1bin16_PPNDH_Gb1bin16_C_c,0.0
Gb1bin16_PRAMPC_1_Gb1bin16_C_c,Gb1bin16_PRAMPC_1_Gb1bin16_C_c,0.0
Gb1bin16_PRATPP_1_Gb1bin16_C_c,Gb1bin16_PRATPP_1_Gb1bin16_C_c,0.0
Gb1bin16_PRMICI_Gb1bin16_C_c,Gb1bin16_PRMICI_Gb1bin16_C_c,0.0
Gb1bin16_PRPPS_Gb1bin16_C_c,Gb1bin16_PRPPS_Gb1bin16_C_c,0.0
