,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
HISabcpp,2.015350831,2.890029863,,,,,1.429337582,130.0835853,,1.633807279,,2.219764431,,1.576624132
HIStex,2.015350831,2.890029863,,,,,1.429337582,130.0835853,,1.633807279,,2.219764431,,1.576624132
HMBS_1,6.473510052,,,,,,,,,,17.91669205,,,8.333333333
HMGCOAR,-0.015317257,-0.021963959,,,,,0,0,-0.02310571,,,0,,0
HMGCOAS,0,0,,0,,,0,,-0.02310571,,,,,0
HMR_9638,250,,,,,1000,,,,,275,181.0588248,1000,
HPROb,0,,1.20E-12,,0,0,,,,0,0,,,0
HSTPTr,0.00592992,,,,3.180163587,,1.41517821,23.20803547,,,,,,
ICL,100.5435405,,,,187.9728025,,,201.3986497,,,,,,
ID6P,500.0053238,922.9675096,,,,,,1000,,,,,,
IG3PS,0.00592992,,4.560360185,0.927328954,3.180163587,19.01764783,1.41517821,23.20803547,,1.624488757,4.21037875,,,
IGPDH,0.00592992,,,,3.180163587,19.01764783,1.41517821,23.20803547,,1.624488757,4.21037875,,,
IGPDH_1,0.00592992,,4.560360185,0.927328954,,,,,,,,2.19953712,3.174477573,
ILEDHr_1,0,,,,,,,,,,,,,
ILEt2r,6.180704505,,14.11421535,,,,,,,,,,,
IMPC,0,-5.593149489,0,0,0,4.68E-35,-6.068505249,-1.99E-13,,0,0,0,0,
IMPD,5.154089782,7.065019993,30.0914537,8.030709213,8.060431301,23.38837252,10.99261232,45.21453669,180.7692308,4.177858486,275,14.58728109,32.49927616,4.02923007
IPDDI,0.002127397,0.00305055,,,5.717331044,11.54002293,0.001510886,,0.003209126,,,,,4.315810383
IPMD,0.017018942,13.76529474,524.8476835,26.66666667,113.7201562,155.0805218,6.819057269,30.44671371,14.45810909,7.773430054,323.7628753,109.5005744,213.6626398,
IPPMIa,-1.09E-16,0,9.17E-15,0,-3.38E-15,0,0,-1.07E-13,0,-1.51E-14,-8.02E-14,0,0,
IPPMIb,0,0,0,0,0,0,0,0,0,0,0,0,0,
IPPS,0.017018942,13.76529474,524.8476835,26.66666667,113.7201562,155.0805218,6.819057269,30.44671371,14.45810909,7.773430054,323.7628753,109.5005744,213.6626398,
KARA1,3.76E-18,-4.33E-15,1.79E-12,0,0,-331.6799065,9.71E-15,,5.77E-15,0,-1.87E-14,-7.66E-16,-12.8326574,0
KARA2,6.180704505,8.862731807,979.1943923,24.26248579,219.7145687,153.2773482,,587.1535463,,96.2962963,106.6972464,122.7931982,78.95587244,4.834966247
Kt1,4.152529539,,9.482688603,1.916504997,,,,,,,,,1000,
LADGMDH,2.116761998,,27.57710324,,93.32363628,,,14.18442148,,16.91235367,28.21364271,,,
LALGP,2.116761998,,27.57710324,,93.32363628,,,14.18442148,99.87052783,52.45992443,28.21364271,,104.3518465,
LEUt2r,9.584581854,,,,,,,,,,,,,
LYSt5r,7.300395963,,16.67113525,,,,,,,,155.5024764,8.040454536,,
MALS,530.2998643,,,,100,,,168.925742,,104,175.9777623,700,,
MAN6PI,255.5441672,,677.5883127,12.42773673,1000,100,0,,1.31E-15,0,1000,0,0,
MAN6Pt6,255.5441672,,,,,,,,,,,,,
MBCOAi,0.017018942,0.024404398,,26.66666667,100,44.75527628,0.012087018,27.37294859,,,,100,200,
MCA,0,,121.4285714,,,0,65.24727135,,,0,0,,0,
MCCC,0.017018942,0.024404398,,26.66666667,100,44.75527628,,27.37294859,,,,100,200,
MCD,125,194.2857143,,57.14285714,200,150,100,129.7619048,180.7692308,,,,200,100
MCITD,1000,273.8464343,,,66.66666667,1000,1000,90.31449407,,1000,1000,,1000,
MCPST,95.37255342,,,,,,,,,,,,,
MCTP1App,2.116761998,,14.40685377,,6.25,7.894736842,4.347826087,5.53847815,,7.386363636,11.70212766,,11.11111111,
MDDEP2pp,2.116761998,,14.40685377,,,,4.347826087,,,,,,,
METAT,12.95320445,0.009853276,121.4472911,3.423307306,35.80236517,42.86442763,0.003369277,,2.001602425,39.82996251,40.72108162,,61.66593065,17.19539858
METS,12.94893476,0.00305055,64.93850061,3.42133673,400.0030453,104.5005252,0.001510886,,4.928947489,0.460026222,35.65412451,19.04136346,47.1718068,17.12507057
METabc,3.274255065,,,,,156.7485324,2.325390075,540.454648,,102.3906963,,,,2.561344376
MEVK2,0.017019174,0.024404398,,,,,,,,,,0.630659703,,
MEVRt,0.017019174,,,,,,,,,,,,,
MGCH,0.017018942,0.024404398,,26.66666667,100,44.75527628,0.012087018,27.37294859,,,,100,200,
MGt5,-0.166096501,,375.6060091,999.923342,,,99.88203755,-0.170342054,-0.250552541,,185.0100217,139.8170659,,-0.129931948
MICITDr,1000,273.8464343,,,66.66666667,1000,1000,90.31449407,,1000,1000,,1000,
MLDCP1App,2.116761998,,14.40685377,,,,4.347826087,,,,,,,
MLTGY2pp,2.116761998,,14.40685377,,,7.894736842,4.347826087,6.110412157,,7.386363636,12.08791209,,11.11111111,
MMCD,168.3112614,202.8142762,,57.14285714,324.8512777,300,100,64.88095238,180.7692308,,,88.12419145,200,100
MME,168.3112614,12.81176458,,,324.8512777,300,,64.88095238,,,,88.12419145,113.9862674,100
MMM,168.3112614,,,,324.8512777,,,64.88095238,,,,,,
